Qty,Value,Device,Package,Parts,Description,LCSC,URL,Column1
24,0.1uF,C-EUC0603,C0603,C1  C2  C3  C4  C5  C6  C7  C8  C9  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19  C20  C21  C22  C23  C24,CAPACITOR  European symbol,C14663,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0603KRX7R9BB104_C14663.html,
1,0.1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C29,Ceramic Capacitors,C49678,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_YAGEO-CC0805KRX7R9BB104_C49678.html,
4,100K,RESISTOR_0603_NOOUT,0603-NO,R1  R3  R7  R12,Resistors,C25803,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.html,
1,10118192-0002LF,10118192-0002LF,AMPHENOL_10118192-0002LF,J1,USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount  Right Angle,C132564,https://www.lcsc.com/product-detail/USB-Connectors_Amphenol-ICC-10118192-0001LF_C132564.html,
1,1024TR,1024TR,1024TR,U$9,,,https://www.digikey.ca/en/products/detail/keystone-electronics/1024TR/2746327,
3,10K,RESISTOR_0603_NOOUT,0603-NO,R5  R6  R8,Resistors,C25804,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.html,
3,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C27  C28  C30,Ceramic Capacitors,C440198,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61H106KE43L_C440198.html,
2,1K,RESISTOR_0603_NOOUT,0603-NO,R2  R10,Resistors,C21190,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.html,
2,1uF,CAP_CERAMIC0603_NO,0603-NO,C26  C31,Ceramic Capacitors,C15849,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.html,
1,1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C25,Ceramic Capacitors,C28323,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.html,
1,4.7K,RESISTOR_0603_NOOUT,0603-NO,R4,Resistors,C23162,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF4701T5E_C23162.html,
1,4.7uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C32,Ceramic Capacitors,C1779,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A475KAQNNNE_C1779.html,
2,470r,RESISTOR_0603_NOOUT,0603-NO,R9  R11,Resistors,C23179,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0603WAF4700T5E_C23179.html,
1,AP2112-3.3,VREG_SOT23-5,SOT23-5,U2,SOT23-5 Fixed Voltage Regulators,C150742,https://www.lcsc.com/product-detail/Linear-Voltage-Regulators-LDO_Diodes-Incorporated-AP7365-33WG-7_C150742.html,
1,CH340C,CH340C,SOIC127P600X180-16N,U1,USB to serial chip CH340    Check prices,C84681,https://www.lcsc.com/product-detail/USB-ICs_WCH-Jiangsu-Qin-Heng-CH340C_C84681.html,
1,DMP2045U,MOSFET-P,SOT23-R,Q3,P-Channel Mosfet,C700955,https://www.lcsc.com/product-detail/MOSFETs_HUASHUO-AO3415_C700955.html,
1,ESP32_WROOM32_SKINNY,ESP32_WROOM32_SKINNY,WROOM32_SKINNY,X2,,C82899,https://www.lcsc.com/product-detail/WiFi-Modules_Espressif-Systems-ESP32-WROOM-32_C82899.html,
1,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SW2,SMT Tact Switches,C269272,https://www.lcsc.com/product-detail/Tactile-Switches_C-K-KMR221NGLFS_C269272.html,
1,MBR120,DIODE-SCHOTTKYSOD-123,SOD-123,D4,,C130880,https://www.lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Shikues-MBR120LSF_C130880.html,
1,MCP73831T-2ACI/OT,MCP73831/2,SOT23-5,U3,MCP73831/2 LIPO Charger,C424093,https://www.lcsc.com/product-detail/Battery-Management-ICs_Microchip-Tech-MCP73831T-2ACI-OT_C424093.html,
1,PCM12SMTRPCM12SMTR_CNK,PCM12SMTRPCM12SMTR_CNK,PCM12SMTR_CNK,U5,,C424093,https://www.lcsc.com/product-detail/Battery-Management-ICs_Microchip-Tech-MCP73831T-2ACI-OT_C424093.html,
2,RED ORANGE,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,D3,LED,C84256,https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.html,
1,SMF05CT1G,SMF05CT1G,SOT65P210X110-6N,U4,SMF05C Series 7.2 V 100 W 5-Line Transient Voltage Suppressor Array - SC-88 Check prices,C558443,https://www.lcsc.com/product-detail/ESD-Protection-Devices_TECH-PUBLIC-TPSMF05CT1G_C558443.html,
1,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,CON3_SSW-D-DUMZ_HDR_SAI,J2,,,https://www.digikey.ca/en/products/detail/samtec-inc/SSW-103-22-F-D-VS-K-TR/6692557,
1,TXB0101DCKRDCK6,TXB0101DCKRDCK6,DCK6,U6,,C324081,https://www.lcsc.com/product-detail/Translators-Level-Shifters_Texas-Instruments-TXB0101DCKR_C324081.html,
24,WS28115050,WS28115050,WS28115050,LED1  LED2  LED3  LED4  LED5  LED6  LED7  LED8  LED9  LED10  LED11  LED12  LED13  LED14  LED15  LED16  LED17  LED18  LED19  LED20  LED21  LED22  LED23  LED24,,C114584,https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812S_C114584.html,
2,mmbt2222,TRANSISTOR_NPNSOT23-3,SOT23-3,Q1  Q2,Transistor NPN,C8512,https://www.lcsc.com/product-detail/Bipolar-Transistors-BJT_Changjiang-Electronics-Tech-CJ-MMBT2222A-1P_C8512.html,
