"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"PRICE";"PURCHASE-URL";
"24";"";"C-EUC0603";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C29";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100K";"RESISTOR_0603_NOOUT";"0603-NO";"R1, R3, R7, R12";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10118192-0002LF";"10118192-0002LF";"AMPHENOL_10118192-0002LF";"J1";"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle";"";"";" Micro USB 2.0, Input Output Connectors, B TYPE RECEPTACLE without flange ";"609-5379-1-ND";"";"";"";"";"";"Amphenol ICC (FCI)";"";"10118192-0002LF";"None";"";"https://pricing.snapeda.com/search/part/10118192-0002LF/?ref=eda";
"1";"1024TR";"1024TR";"1024TR";"U$9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K";"RESISTOR_0603_NOOUT";"0603-NO";"R5, R6, R8";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C27, C28, C30";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1K";"RESISTOR_0603_NOOUT";"0603-NO";"R2, R10, R13, R14";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"C26, C31";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C25";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7K";"RESISTOR_0603_NOOUT";"0603-NO";"R4";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C32";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"470";"RESISTOR_0603_NOOUT";"0603-NO";"R9, R11";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
