C1, 56.52, 23.50, 180.00, 0.1uF, 0603-CAP
C10, 63.50, 58.42, 180.00, 0.1uF, 0603-CAP
C11, 73.66, 58.42, 180.00, 0.1uF, 0603-CAP
C12, 86.36, 27.30, 0.00, 0.1uF, 0603-CAP
C13, 76.20, 27.30, 0.00, 0.1uF, 0603-CAP
C14, 66.04, 27.30, 0.00, 0.1uF, 0603-CAP
C15, 55.88, 27.30, 0.00, 0.1uF, 0603-CAP
C16, 45.72, 27.30, 0.00, 0.1uF, 0603-CAP
C17, 35.56, 27.30, 0.00, 0.1uF, 0603-CAP
C18, 25.40, 27.30, 0.00, 0.1uF, 0603-CAP
C19, 15.24, 27.30, 0.00, 0.1uF, 0603-CAP
C2, 38.10, 21.59, 180.00, 0.1uF, 0603-CAP
C25, 34.93, 12.70, 0.00, 1uF, 0805-NO
C26, 30.48, 15.24, 0.00, 1uF, 0603-NO
C27, 26.67, 7.62, 90.00, 10uF, 0805-NO
C29, 67.31, 3.81, 90.00, 0.1uF, 0805-NO
C3, 38.73, 15.24, 180.00, 0.1uF, 0603-CAP
C4, 2.54, 58.42, 180.00, 0.1uF, 0603-CAP
C5, 12.70, 58.42, 180.00, 0.1uF, 0603-CAP
C6, 22.86, 58.42, 180.00, 0.1uF, 0603-CAP
C7, 33.02, 58.42, 180.00, 0.1uF, 0603-CAP
C8, 43.18, 58.42, 180.00, 0.1uF, 0603-CAP
C9, 53.34, 58.42, 180.00, 0.1uF, 0603-CAP
D1, 30.48, 12.70, 90.00, RED, CHIPLED_0805_NOOUTLINE
D2, 56.52, 20.96, 270.00, RED, CHIPLED_0805_NOOUTLINE
D3, 43.82, 6.99, 0.00, MBR120, SOD-123
D4, 40.64, 8.89, 0.00, MBR120, SOD-123
D5, 30.48, 5.08, 90.00, RED, CHIPLED_0805_NOOUTLINE
D6, 20.32, 74.93, 270.00, NC, CHIPLED_0805_NOOUTLINE
D7, 68.58, 74.93, 270.00, NC, CHIPLED_0805_NOOUTLINE
J1, 48.26, 2.85, 0.00, 10118192-0002LF, AMPHENOL_10118192-0002LF
JP1, 62.23, 12.07, 270.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP2, 64.77, 12.07, 270.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
JP3, 67.31, 12.07, 270.00, JUMPER-SMT_2_NC_TRACE_SILK, SMT-JUMPER_2_NC_TRACE_SILK
LED7, 60.96, 74.93, 270.00, NC, CHIPLED_1206
LED8, 27.94, 74.93, 270.00, NC, CHIPLED_1206
Q1, 43.18, 12.70, 315.00, 8/16/20MHz, RESONATOR-SMD-1:1
R10, 27.94, 69.85, 0.00, NC, R1206W
R11, 60.96, 69.85, 0.00, NC, R1206W
R12, 20.32, 69.85, 180.00, NC, 0603-NO
R13, 30.48, 2.54, 0.00, 1K, 0603-NO
R14, 29.21, 8.89, 270.00, 1K, 0603-NO
R15, 68.58, 69.85, 180.00, NC, 0603-NO
R2, 38.10, 19.05, 180.00, 10K, 0603-RES
R6, 56.52, 18.41, 0.00, 330, 0603-RES
R7, 31.12, 8.89, 90.00, 100K, 0603-NO
S2, 73.66, 19.05, 180.00, NC, TACTILE_SWITCH_SMD_5.2MM
S3, 73.66, 7.62, 180.00, NC, TACTILE_SWITCH_SMD_5.2MM
S4, 13.97, 21.59, 0.00, U, TACTILE_SWITCH_SMD_5.2MM
S5, 13.97, 6.35, 0.00, D, TACTILE_SWITCH_SMD_5.2MM
S6, 6.35, 13.97, 0.00, L, TACTILE_SWITCH_SMD_5.2MM
S7, 21.59, 13.97, 0.00, R, TACTILE_SWITCH_SMD_5.2MM
U1, 47.62, 19.05, 45.00, ATMEGA328, TQFP32-08
U10, 33.02, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U11, 43.18, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U12, 53.34, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U13, 63.50, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U14, 73.66, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U15, 86.36, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U16, 76.20, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U17, 66.04, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U18, 55.88, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U19, 45.72, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U2, 34.93, 8.89, 270.00, AP2112-3.3, SOT23-5
U20, 35.56, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U21, 25.40, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U22, 15.24, 29.85, 0.00, WS2812-2020, LED_WS2812-2020
U3, 2.54, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U4, 12.70, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
U5, 37.47, 2.97, 90.00, PCM12SMTRPCM12SMTR_CNK, PCM12SMTR_CNK
U7, 60.96, 4.45, 270.00, CH340C, SOIC127P600X180-16N
U8, 52.07, 8.26, 270.00, SMF05CT1G, SOT65P210X110-6N
U9, 22.86, 55.88, 180.00, WS2812-2020, LED_WS2812-2020
