"Qty","Value","Device","Package","Parts","Description","AVAILABILITY","COPYRIGHT","DESCRIPTION","DIGI-KEY_PART_NUMBER","DIGI-KEY_PART_NUMBER_1","DIGI-KEY_PART_NUMBER_2","DIGI-KEY_PART_NUMBER_3","DIGI-KEY_PART_NUMBER_4","DIGI-KEY_PART_NUMBER_5","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PRICE","PROD_ID","PURCHASE-URL","SF_SKU","SPICEPREFIX",
"19","0.1uF","CAP0603-CAP","0603-CAP","C1  C2  C3  C4  C5  C6  C7  C8  C9  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19","Capacitor","","","","","","","","","","","","","","","","","","","","","","","",
"1","0.1uF","CAP_CERAMIC0805-NOOUTLINE","0805-NO","C29","Ceramic Capacitors","","","","","","","","","","","","","","","","","","","","","","","",
"1","100K","RESISTOR_0603_NOOUT","0603-NO","R7","Resistors","","","","","","","","","","","","","","","","","","","","","","","",
"1","10118192-0002LF","10118192-0002LF","AMPHENOL_10118192-0002LF","J1","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount  Right Angle","",""," Micro USB 2.0  Input Output Connectors  B TYPE RECEPTACLE without flange ","609-5379-1-ND","","","","","","","Amphenol ICC (FCI)","","10118192-0002LF","","","","None","","","","https://pricing.snapeda.com/search/part/10118192-0002LF/?ref=eda","","",
"1","10K","RESISTOR0603-RES","0603-RES","R2","Resistor","","","","","","","","","","","","","","","","","","","","","","","",
"1","10uF","CAP_CERAMIC0805-NOOUTLINE","0805-NO","C27","Ceramic Capacitors","","","","","","","","","","","","","","","","","","","","","","","",
"2","1K","RESISTOR_0603_NOOUT","0603-NO","R13  R14","Resistors","","","","","","","","","","","","","","","","","","","","","","","",
"1","1uF","CAP_CERAMIC0603_NO","0603-NO","C26","Ceramic Capacitors","","","","","","","","","","","","","","","","","","","","","","","",
"1","1uF","CAP_CERAMIC0805-NOOUTLINE","0805-NO","C25","Ceramic Capacitors","","","","","","","","","","","","","","","","","","","","","","","",
"1","24792479PCB_37P49X52P63_KEY","24792479PCB_37P49X52P63_KEY","2479PCB_37P49X52P63_KEY","U6","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","","1528-1350-ND","2183-2479-ND","2479K-ND","36-2479-ND","36-2479-NDL","2479","","Keystone Electronics","","","","","","","","","","","",
"1","330","RESISTOR0603-RES","0603-RES","R6","Resistor","","","","","","","","","","","","","","","","","","","","","","","",
"1","8/16/20MHz","RESONATOR1:1","RESONATOR-SMD-1:1","Q1","Resonator","","","","","","","","","","","","","","","","","","","","","","","",
