Qty,Value,Device,Package,Parts,Description
21,0.1uF,C-EUC0603,C0603,"C1, C2, C3, C4, C5, C6, C7, C10, C11, C12, C13, C14, C15, C16, C17, C19, C20, C21, C22, C23, C24",C14663
1,0.1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C29,C49678
3,100K,RESISTOR_0603_NOOUT,0603-NO,"R1, R3, R7",C25803
3,10201020_KEY,10201020_KEY,1020_KEY,"U27, U28, U29",36-1020-ND
3,10K,RESISTOR_0603_NOOUT,0603-NO,"R5, R6, R8",C25804
2,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,"C27, C30",C440198
3,1K,RESISTOR_0603_NOOUT,0603-NO,"R10, R13, R14",C21190
2,1uF,CAP_CERAMIC0603_NO,0603-NO,"C26, C31",C15849
1,1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,C25,C28323
2,470r,RESISTOR_0603_NOOUT,0603-NO,"R9, R11",C4190
2,5.1K,RESISTOR_0603_NOOUT,0603-NO,"R2, R4",C23186
1,AP2112-3.3,VREG_SOT23-5,SOT23-5,U2,C150742
1,CH340C,CH340C,SOIC127P600X180-16N,U1,C84681
1,ESP32_WROOM32_SKINNY,ESP32_WROOM32_SKINNY,WROOM32_SKINNY,X2,C82899
1,KMR2,SWITCH_TACT_SMT4.6X2.8,BTN_KMR2_4.6X2.8,SW2,C269272
2,MBR120,DIODE-SCHOTTKYSOD-123,SOD-123,"D2, D6",C130880
1,PCM12SMTRPCM12SMTR_CNK,PCM12SMTRPCM12SMTR_CNK,PCM12SMTR_CNK,U5,401-2016-2-ND
3,RED,LED0805_NOOUTLINE,CHIPLED_0805_NOOUTLINE,"D1, D3, D5",C84256
1,SMF05CT1G,SMF05CT1G,SOT65P210X110-6N,U4,C558443
1,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,SSW-103-22-F-D-VS-K-TRCON3_SSW-D-DUMZ_HDR_SAI,CON3_SSW-D-DUMZ_HDR_SAI,J2,952-3251-ND
1,TYPE-C-31-M-12,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,J3,C223907
21,WS2812-2020,WS2812-2020,LED_WS2812-2020,"U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26",C965555
2,mmbt2222,TRANSISTOR_NPNSOT23-3,SOT23-3,"Q1, Q2",C8512
