Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,215.5,-95.7,-90.0,top
C2,10uF,C_0805_2012Metric,207.9,-102.7,-90.0,top
C3,1uF,C_0603_1608Metric,205.9,-102.5,-90.0,top
C4,10uF,C_0805_2012Metric,183.7,-53.6,-90.0,top
C5,0.1uF,C_0603_1608Metric,185.6,-53.4,-90.0,top
C6,1uF,C_0603_1608Metric,186.3,-56.1,180.0,top
C7,4.7uF,C_0805_2012Metric,203.4,-83.55,-90.0,top
C8,10uF,C_0805_2012Metric,202.5,-90.4,0.0,top
C9,1uF,C_0603_1608Metric,202.3,-88.5,0.0,top
D1,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,206.3,-88.0,90.0,top
D2,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,210.7,-87.9,90.0,top
D3,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,154.0,-51.2,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.4,-86.35,0.0,top
D5,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,206.65,-81.95,-90.0,top
J5,Bus_PCI_32bit_Universal,CONN-TH_EH06003-DAW-DF,147.137414,-78.344933,180.0,top
KEY1,SSSS811101,SW-SMD_SSSS811101,162.5,-45.875,180.0,top
KEY2,SSSS811101,SW-SMD_SSSS811101,152.4,-45.875,180.0,top
LED1,LTST-S220KRKT,LED-SMD_L2.2-W1.0-RD_RED-SIDE,222.4,-68.0,-90.0,top
LED2,LTST-S220KRKT,LED-SMD_L2.2-W1.0-RD_RED-SIDE,222.4,-71.0,-90.0,top
LED3,LTST-S220KRKT,LED-SMD_L2.2-W1.0-RD_RED-SIDE,222.484851,-89.3,-90.0,top
LED4,LTST-S220KRKT,LED-SMD_L2.2-W1.0-RD_RED-SIDE,222.5,-86.2,-90.0,top
R1,5.1K,R_0603_1608Metric,219.6,-67.0,180.0,top
R10,390K,R_0603_1608Metric,194.05,-98.7,90.0,top
R11,100K,R_0603_1608Metric,194.1,-95.4,90.0,top
R12,1K,R_0603_1608Metric,219.35,-85.2,180.0,top
R2,100K,R_0603_1608Metric,213.5,-95.7,-90.0,top
R3,5.1K,R_0603_1608Metric,219.6,-70.1,180.0,top
R4,5.1K,R_0603_1608Metric,211.5,-74.9,180.0,top
R5,5.1K,R_0603_1608Metric,209.8,-81.7,180.0,top
R6,10K,R_0603_1608Metric,187.3,-53.4,-90.0,top
R7,1K,R_0603_1608Metric,198.4,-90.2,0.0,top
R8,1K,R_0603_1608Metric,198.4,-91.8,180.0,top
R9,1K,R_0603_1608Metric,219.3,-88.2,180.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,199.2,-60.12,0.0,top
U2,AP2112K-3_3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,210.400025,-96.4,180.0,top
U3,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,217.924949,-78.6,90.0,top
U4,TPSMF05CT1G,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,211.3,-78.1,0.0,top
U5,GT-TC018A-H0375-L1,SW-SMD_L4.7-W3.5-P3.35-EH,137.4,-45.332449,0.0,top
U6,GT-TC018A-H0375-L1,SW-SMD_L4.7-W3.5-P3.35-EH,143.9,-45.332449,0.0,top
U7,XDWF-0920-02P,CONN-SMD_XDWF-0920-02P,171.875,-106.8,-90.0,top
U8,XT4054K421MR-G,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,200.1,-84.895498,0.0,top
U9,K2-1102SP-Z4SC-04,KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,86.3,-78.4,0.0,top
