Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,2479,BAT_2479,152.678,-118.617,270.0,bottom
C1,1uF,C_0603_1608Metric,174.6,-44.8,270.0,bottom
C10,0.1uF,C_0603_1608Metric,132.4,-63.7,270.0,bottom
C11,0.1uF,C_0603_1608Metric,143.0,-66.75,270.0,bottom
C12,0.1uF,C_0603_1608Metric,154.9,-64.4,180.0,bottom
C13,0.1uF,C_0603_1608Metric,162.75,-58.25,180.0,bottom
C14,0.1uF,C_0603_1608Metric,167.0,-44.0,180.0,bottom
C15,0.1uF,C_0603_1608Metric,163.5,-32.9,180.0,bottom
C16,0.1uF,C_0603_1608Metric,158.275,-26.75,180.0,bottom
C17,1uF,C_0603_1608Metric,114.05,-107.45,180.0,bottom
C18,10uF,C_0805_2012Metric,109.3,-44.5,180.0,bottom
C19,0.1uF,C_0805_2012Metric,109.3,-47.0,180.0,bottom
C2,10uF,C_0805_2012Metric,177.587185,-44.500267,270.0,bottom
C20,0.1uF,C_0603_1608Metric,143.987465,-132.262535,270.0,bottom
C21,0.1uF,C_0603_1608Metric,150.637465,-132.462535,270.0,bottom
C22,0.1uF,C_0603_1608Metric,157.937465,-132.487535,270.0,bottom
C23,0.1uF,C_0603_1608Metric,164.987465,-132.387535,270.0,bottom
C24,0.1uF,C_0603_1608Metric,171.987465,-132.487535,270.0,bottom
C25,0.1uF,C_0603_1608Metric,178.987465,-132.512535,270.0,bottom
C3,1uF,C_0603_1608Metric,180.266661,-44.800267,270.0,bottom
C4,1uF,C_0603_1608Metric,113.75,-46.5,90.0,bottom
C5,0.1uF,C_0603_1608Metric,138.25,-23.75,0.0,bottom
C6,0.1uF,C_0603_1608Metric,131.7,-26.0,0.0,bottom
C7,0.1uF,C_0603_1608Metric,124.5,-34.25,90.0,bottom
C8,0.1uF,C_0603_1608Metric,122.0,-46.25,0.0,bottom
C9,0.1uF,C_0603_1608Metric,123.75,-53.75,0.0,bottom
D1,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,169.3,-72.4,180.0,bottom
D2,MBR120LSF,SOD-123_L2.8-W1.8-LS3.7-RD,169.3,-69.9,180.0,bottom
F1,Fuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,115.8,-97.5,90.0,bottom
J1,PM254-2-03-S-8_5,HDR-SMD_6P-P2.54-V-F-R2-C3-LS7.0,114.0,-32.704013,0.0,top
J2,PM254-2-03-S-8_5,HDR-SMD_6P-P2.54-V-F-R2-C3-LS7.0,175.0,-32.704013,0.0,top
J6,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,110.12,-90.975,180.0,top
J7,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,178.7,-90.975,180.0,top
KEY1,SSSS811101,SW-SMD_SSSS811101,186.525,-46.8,270.0,bottom
LED1,FC-2012HRK-620D,LED0805-R-RD,184.8,-37.8,270.0,bottom
LED2,FC-2012HRK-620D,LED0805-R-RD,182.4,-37.8,270.0,bottom
Q1,MMBT3904,SOT-23,109.3,-107.75,270.0,bottom
R1,100K,R_0603_1608Metric,169.4,-47.4,90.0,bottom
R10,470,R_0603_1608Metric,114.05,-105.95,0.0,bottom
R11,56,R_0603_1608Metric,106.3,-108.3,270.0,bottom
R12,1K,R_0603_1608Metric,110.1,-103.25,0.0,bottom
R13,100K,R_0603_1608Metric,110.1,-101.275,0.0,bottom
R14,10K,R_0603_1608Metric,117.5,-48.5,270.0,bottom
R2,5.1K,R_0603_1608Metric,184.75,-33.6,90.0,bottom
R3,5.1K,R_0603_1608Metric,182.35,-33.6,90.0,bottom
R4,5.1K,R_0603_1608Metric,175.098566,-56.999936,0.0,bottom
R5,5.1K,R_0603_1608Metric,178.098566,-63.0,0.0,bottom
R6,10K,R_0603_1608Metric,109.0,-49.0,180.0,bottom
R7,10K,R_0603_1608Metric,106.5,-103.9,270.0,bottom
R8,10K,R_0603_1608Metric,105.688,-117.728,90.0,bottom
R9,10K,R_0603_1608Metric,170.494913,-111.6,90.0,bottom
RGB1,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,144.471794,-24.651346,0.0,bottom
RGB10,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,164.350013,-44.481585,90.0,bottom
RGB11,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,161.654948,-34.596529,60.0,bottom
RGB12,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,154.377991,-27.320921,30.0,bottom
RGB13,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,145.737452,-130.012548,180.0,bottom
RGB14,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,152.699352,-130.012548,180.0,bottom
RGB15,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,159.780937,-130.00028,180.0,bottom
RGB16,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,166.737452,-130.012548,180.0,bottom
RGB17,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,173.780937,-130.00028,180.0,bottom
RGB18,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,180.737452,-130.012548,180.0,bottom
RGB2,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,134.621529,-27.320052,330.0,bottom
RGB3,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,127.320921,-34.622008,300.0,bottom
RGB4,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,124.651347,-44.428207,270.0,bottom
RGB5,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,127.345053,-54.403472,240.0,bottom
RGB6,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,134.622008,-61.679079,210.0,bottom
RGB7,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,144.506502,-64.337281,180.0,bottom
RGB8,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,154.378472,-61.679947,150.0,bottom
RGB9,SK6812SIDE-A_C5378721,LED-SMD_SK6812SIDE-A_C5378721,161.679079,-54.377991,120.0,bottom
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,112.0,-106.650114,180.0,top
