Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,2479,BAT_2479,152.679027,-224.987,270.0,bottom
BT1,2479,BAT_2479,136.323013,-24.753,90.0,bottom
BT1,2479,BAT_2479,60.679014,-224.987,270.0,bottom
BT1,2479,BAT_2479,44.323,-24.753,90.0,bottom
C1,1uF,C_0603_1608Metric,174.601027,-151.17,270.0,bottom
C1,1uF,C_0603_1608Metric,22.401,-98.57,90.0,bottom
C1,1uF,C_0603_1608Metric,82.601014,-151.17,270.0,bottom
C1,1uF,C_0603_1608Metric,114.401013,-98.57,90.0,bottom
C10,0.1uF,C_0603_1608Metric,132.401027,-170.07,270.0,bottom
C10,0.1uF,C_0603_1608Metric,64.601,-79.67,90.0,bottom
C10,0.1uF,C_0603_1608Metric,156.601013,-79.67,90.0,bottom
C10,0.1uF,C_0603_1608Metric,40.401014,-170.07,270.0,bottom
C11,0.1uF,C_0603_1608Metric,54.001,-76.62,90.0,bottom
C11,0.1uF,C_0603_1608Metric,51.001014,-173.12,270.0,bottom
C11,0.1uF,C_0603_1608Metric,143.001027,-173.12,270.0,bottom
C11,0.1uF,C_0603_1608Metric,146.001013,-76.62,90.0,bottom
C12,0.1uF,C_0603_1608Metric,62.901014,-170.77,180.0,bottom
C12,0.1uF,C_0603_1608Metric,154.901027,-170.77,180.0,bottom
C12,0.1uF,C_0603_1608Metric,134.101013,-78.97,0.0,bottom
C12,0.1uF,C_0603_1608Metric,42.101,-78.97,0.0,bottom
C13,0.1uF,C_0603_1608Metric,126.251013,-85.12,0.0,bottom
C13,0.1uF,C_0603_1608Metric,70.751014,-164.62,180.0,bottom
C13,0.1uF,C_0603_1608Metric,34.251,-85.12,0.0,bottom
C13,0.1uF,C_0603_1608Metric,162.751027,-164.62,180.0,bottom
C14,0.1uF,C_0603_1608Metric,30.001,-99.37,0.0,bottom
C14,0.1uF,C_0603_1608Metric,167.001027,-150.37,180.0,bottom
C14,0.1uF,C_0603_1608Metric,75.001014,-150.37,180.0,bottom
C14,0.1uF,C_0603_1608Metric,122.001013,-99.37,0.0,bottom
C15,0.1uF,C_0603_1608Metric,163.501027,-139.27,180.0,bottom
C15,0.1uF,C_0603_1608Metric,125.501013,-110.47,0.0,bottom
C15,0.1uF,C_0603_1608Metric,33.501,-110.47,0.0,bottom
C15,0.1uF,C_0603_1608Metric,71.501014,-139.27,180.0,bottom
C16,0.1uF,C_0603_1608Metric,38.726,-116.62,0.0,bottom
C16,0.1uF,C_0603_1608Metric,130.726013,-116.62,0.0,bottom
C16,0.1uF,C_0603_1608Metric,66.276014,-133.12,180.0,bottom
C16,0.1uF,C_0603_1608Metric,158.276027,-133.12,180.0,bottom
C17,1uF,C_0603_1608Metric,174.951013,-35.92,0.0,bottom
C17,1uF,C_0603_1608Metric,82.951,-35.92,0.0,bottom
C17,1uF,C_0603_1608Metric,22.051014,-213.82,180.0,bottom
C17,1uF,C_0603_1608Metric,114.051027,-213.82,180.0,bottom
C18,10uF,C_0805_2012Metric,109.301027,-150.87,180.0,bottom
C18,10uF,C_0805_2012Metric,87.701,-98.87,0.0,bottom
C18,10uF,C_0805_2012Metric,179.701013,-98.87,0.0,bottom
C18,10uF,C_0805_2012Metric,17.301014,-150.87,180.0,bottom
C19,0.1uF,C_0805_2012Metric,109.301027,-153.37,180.0,bottom
C19,0.1uF,C_0805_2012Metric,17.301014,-153.37,180.0,bottom
C19,0.1uF,C_0805_2012Metric,87.701,-96.37,0.0,bottom
C19,0.1uF,C_0805_2012Metric,179.701013,-96.37,0.0,bottom
C2,10uF,C_0805_2012Metric,19.413815,-98.869733,90.0,bottom
C2,10uF,C_0805_2012Metric,85.588199,-150.870267,270.0,bottom
