Comment,Designator,Footprint,LCSC,Quantity
330,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
330,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
330,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
330,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,1
LED,D3,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D4,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
Conn_01x01_Socket,,PinSocket_1x01_P1.27mm_Vertical,,0
SAO Connector SMD,J1,SAO Connector SMD,,1
